<<<<<<< HEAD
Pigeon,3 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3856165_uploaded_image1_1662024131.jpg,poules-lapins-et-pigeons
Pigeon voyageur,7 000 CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3856160_uploaded_image1_1662023975.jpg,poules-lapins-et-pigeons
Diamant Mandarin Huppé,Prix sur demande,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_3841798_uploaded_image1_1661198573.jpg,poules-lapins-et-pigeons
Pigeons voyageurs,2 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829942_uploaded_image1_1660489290.jpg,poules-lapins-et-pigeons
Poulets,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3820532_uploaded_image1_1659963344.jpg,poules-lapins-et-pigeons
Poulet de chair,3 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3820323_uploaded_image1_1659956851.jpg,poules-lapins-et-pigeons
Pigeons portugais espagnols,20 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3818868_uploaded_image1_1659851735.jpg,poules-lapins-et-pigeons
Pigeons espagnols,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3818867_uploaded_image1_1659851278.jpg,poules-lapins-et-pigeons
Poulets,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3818707_uploaded_image1_1659828045.jpg,poules-lapins-et-pigeons
Pigeon Opal,Prix sur demande,"Saly, Sénégal",https://images.coinafrique.com/thumb_3817370_uploaded_image1_1659739915.jpg,poules-lapins-et-pigeons
Poulet de chair,3 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3812639_uploaded_image1_1659524524.jpg,poules-lapins-et-pigeons
Poulets,3 500 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3809817_uploaded_image1_1659394489.jpg,poules-lapins-et-pigeons
Femelle herminé pur sang,45 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3807013_uploaded_image1_1659264761.jpg,poules-lapins-et-pigeons
Poule Brahman,60 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3803369_uploaded_image1_1659011427.jpg,poules-lapins-et-pigeons
Poule Brahma,110 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3803358_uploaded_image2_1659010838.jpeg,poules-lapins-et-pigeons
Femelles Manteau Opal,35 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3802372_uploaded_image1_1658943727.jpg,poules-lapins-et-pigeons
Poules,2 800 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3799302_uploaded_image1_1658780673.jpg,poules-lapins-et-pigeons
Lapin nain,60 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3795801_uploaded_image1_1658525928.jpg,poules-lapins-et-pigeons
Poulet d'ornement,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3795149_uploaded_image1_1658494666.jpg,poules-lapins-et-pigeons
Poulets frais,3 500 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3749412_uploaded_image1_1655656513.jpg,poules-lapins-et-pigeons
Poulets Hollande,6 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3788366_uploaded_image1_1658082013.jpg,poules-lapins-et-pigeons
Couple lapin nain,60 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3779800_uploaded_image1_1657474190.jpg,poules-lapins-et-pigeons
Lapins,15 000 CFA,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3778360_uploaded_image1_1657315361.jpg,poules-lapins-et-pigeons
Lapin,20 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3762877_uploaded_image1_1656485681.jpg,poules-lapins-et-pigeons
Lapins nain,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3756850_uploaded_image1_1656080564.jpg,poules-lapins-et-pigeons
Poussins chair,28 000 CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3756839_uploaded_image1_1656080074.jpg,poules-lapins-et-pigeons
Poussins Cochins,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3738020_uploaded_image1_1654981855.jpg,poules-lapins-et-pigeons
Pigeons voyageurs,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3726420_uploaded_image1_1654342685.jpg,poules-lapins-et-pigeons
Coq Brahmane,45 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_3725108_uploaded_image1_1654262429.jpg,poules-lapins-et-pigeons
Poulet de chair,2 500 CFA,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3719067_uploaded_image1_1654006894.jpg,poules-lapins-et-pigeons
Poussins,Prix sur demande,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3717493_uploaded_image1_1653911809.jpg,poules-lapins-et-pigeons
Poussins,27 500 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3713086_uploaded_image1_1653586071.jpg,poules-lapins-et-pigeons
Poussins 1 jour,25 000 CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3712620_uploaded_image1_1653566057.jpg,poules-lapins-et-pigeons
Poule,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3707531_uploaded_image1_1653273003.jpg,poules-lapins-et-pigeons
Coq Brahma,50 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3701284_uploaded_image1_1652878050.jpg,poules-lapins-et-pigeons
Poule Brahmâ,20 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3701283_uploaded_image1_1652877907.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3694574_uploaded_image1_1652451578.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3689928_uploaded_image1_1652202348.jpg,poules-lapins-et-pigeons
Lapin couple,65 000 CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3680760_uploaded_image1_1651680730.jpg,poules-lapins-et-pigeons
Poule couple brahman,50 000 CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3680687_uploaded_image1_1651677884.jpg,poules-lapins-et-pigeons
Poussin,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3679061_uploaded_image1_1651594437.jpg,poules-lapins-et-pigeons
Couple poules Bantam,80 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3678837_uploaded_image1_1651584122.jpg,poules-lapins-et-pigeons
Pigeons,50 000 CFA,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3675341_uploaded_image1_1651328468.jpg,poules-lapins-et-pigeons
Coq Brahma Perdrix,35 000 CFA,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3671744_uploaded_image1_1651068700.jpg,poules-lapins-et-pigeons
Cochin femelle frisé,40 000 CFA,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3671735_uploaded_image1_1651068448.jpg,poules-lapins-et-pigeons
Pigeon dragon,20 000 CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671452_uploaded_image1_1651059347.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3669432_uploaded_image1_1650934782.jpg,poules-lapins-et-pigeons
Lapereaux,30 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3665205_uploaded_image1_1650639265.jpg,poules-lapins-et-pigeons
Eclosion - 16000 poussins,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3664153_uploaded_image1_1650570771.jpg,poules-lapins-et-pigeons
Poule,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3663076_uploaded_image1_1650514068.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3659941_uploaded_image1_1650357667.jpg,poules-lapins-et-pigeons
Pigeon,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3659931_uploaded_image1_1650357026.jpg,poules-lapins-et-pigeons
Pigeon voyageur,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3659922_uploaded_image1_1650356719.jpg,poules-lapins-et-pigeons
Poussins,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3658331_uploaded_image1_1650244788.jpg,poules-lapins-et-pigeons
Lapins,15 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3624677_uploaded_image1_1648325393.jpg,poules-lapins-et-pigeons
Oiseaux,80 000 CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3620766_uploaded_image1_1648057839.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3610036_uploaded_image1_1647364331.jpg,poules-lapins-et-pigeons
Pigeon femelle texan,25 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3606040_uploaded_image1_1647113482.jpg,poules-lapins-et-pigeons
Trio poussins Brahma,20 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3599688_uploaded_image1_1646764114.jpg,poules-lapins-et-pigeons
Couple poussins brahma,20 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3595177_uploaded_image1_1646493730.jpg,poules-lapins-et-pigeons
Lapins nains,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3594110_uploaded_image1_1646425965.jpg,poules-lapins-et-pigeons
Coq Cochin,80 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3589893_uploaded_image1_1646229663.jpg,poules-lapins-et-pigeons
Poule Cochin,90 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3589888_uploaded_image1_1646229530.jpg,poules-lapins-et-pigeons
Couple Cochin,90 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3577024_uploaded_image1_1645466016.jpg,poules-lapins-et-pigeons
Poulets,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3575471_uploaded_image1_1645369161.jpg,poules-lapins-et-pigeons
Poule  Brahma,25 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3569532_uploaded_image1_1644995089.jpg,poules-lapins-et-pigeons
Couple de poule Brahman,50 000 CFA,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3556200_uploaded_image1_1644096446.jpg,poules-lapins-et-pigeons
Oeuf poulet Brahma,2 500 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3556035_uploaded_image1_1644085287.jpg,poules-lapins-et-pigeons
Coq,30 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3548688_uploaded_image1_1643733991.jpg,poules-lapins-et-pigeons
Poule pondeuse,45 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546233_uploaded_image1_1643636475.jpg,poules-lapins-et-pigeons
Poussin brahman,10 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546230_uploaded_image1_1643636330.jpg,poules-lapins-et-pigeons
Coq Brahman,50 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546219_uploaded_image1_1643635974.jpg,poules-lapins-et-pigeons
Pigeons,45 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3544759_uploaded_image1_1643532462.jpg,poules-lapins-et-pigeons
Lot de 3 pigeons,25 000 CFA,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_3544488_uploaded_image1_1643489629.jpg,poules-lapins-et-pigeons
Femelle opal rosa,35 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3544071_uploaded_image1_1643465628.jpg,poules-lapins-et-pigeons
Poussins Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3543634_uploaded_image1_1643440137.jpg,poules-lapins-et-pigeons
Lapins nains,35 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3537679_uploaded_image1_1643058435.jpg,poules-lapins-et-pigeons
Couple Lapins,35 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3536316_uploaded_image1_1642949781.jpg,poules-lapins-et-pigeons
Coq Cochin coucou,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3530700_uploaded_image1_1642595156.jpg,poules-lapins-et-pigeons
Coq Cochin blanc,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3530692_uploaded_image1_1642595027.jpg,poules-lapins-et-pigeons
Poulet,25 003 000 CFA,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3529776_uploaded_image1_1642526350.jpg,poules-lapins-et-pigeons
Poule,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3527552_uploaded_image1_1642403544.jpg,poules-lapins-et-pigeons
Femelle manteau Opale,60 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3526942_uploaded_image1_1642346260.jpg,poules-lapins-et-pigeons
Lapins Angoura,15 000 CFA,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3521996_uploaded_image1_1642019964.jpg,poules-lapins-et-pigeons
Pigeons,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3521128_uploaded_image1_1641989046.jpg,poules-lapins-et-pigeons
Lapins,40 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3520760_uploaded_image1_1641976763.jpg,poules-lapins-et-pigeons
Poule Bleue Hollandaise,15 000 CFA,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513806_uploaded_image1_1641562270.jpg,poules-lapins-et-pigeons
Pigeon Crimpan,75 000 CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_3505148_uploaded_image1_1641130075.jpg,poules-lapins-et-pigeons
Couple de poule Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3502325_uploaded_image1_1640848021.jpg,poules-lapins-et-pigeons
Jeune mâle Brahma,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3494983_uploaded_image1_1640242888.jpg,poules-lapins-et-pigeons
Poule cou nue,16 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3473109_uploaded_image1_1638884949.jpg,poules-lapins-et-pigeons
Couple pigeons cravate,25 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3468974_uploaded_image1_1638651001.jpg,poules-lapins-et-pigeons
Poules,3 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3464218_uploaded_image1_1638449183.jpg,poules-lapins-et-pigeons
Poules,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3464191_uploaded_image1_1638448708.jpg,poules-lapins-et-pigeons
Poules,3 000 CFA,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3447997_uploaded_image1_1637496004.jpg,poules-lapins-et-pigeons
Pigeon Voyageur,17 000 CFA,"Touba, Sénégal",https://images.coinafrique.com/thumb_3444824_uploaded_image1_1637284415.jpg,poules-lapins-et-pigeons
Pigeon Boulan blanc,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3441505_uploaded_image1_1637127613.jpg,poules-lapins-et-pigeons
Poule femelle Orpington,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3441502_uploaded_image1_1637127447.jpg,poules-lapins-et-pigeons
Lapins,35 000 CFA,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3437255_uploaded_image1_1636886889.jpg,poules-lapins-et-pigeons
Pigeon,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3436083_uploaded_image1_1636807309.jpg,poules-lapins-et-pigeons
Poussins brahma couple,22 000 CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3426274_uploaded_image1_1636309987.jpg,poules-lapins-et-pigeons
Pigeon couple Cauchois,70 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3418999_uploaded_image1_1635954718.jpg,poules-lapins-et-pigeons
Pigeon femelle Mondain,70 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3418994_uploaded_image1_1635954539.jpg,poules-lapins-et-pigeons
Pigeons Texan,60 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3414604_uploaded_image1_1635789687.jpg,poules-lapins-et-pigeons
Pigeon Cauchois,100 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3414597_uploaded_image1_1635789492.jpg,poules-lapins-et-pigeons
Pigeon Bouvreuil Archangel,40 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3414593_uploaded_image1_1635789344.jpg,poules-lapins-et-pigeons
Pigeon,35 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3405195_uploaded_image1_1635268881.jpg,poules-lapins-et-pigeons
Poussins,Prix sur demande,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3404905_uploaded_image1_1635261146.jpg,poules-lapins-et-pigeons
Poulets de chair,2 500 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3394674_uploaded_image1_1634723623.jpg,poules-lapins-et-pigeons
Pigeon Lahor,65 000 CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_3382710_uploaded_image1_1634069766.jpg,poules-lapins-et-pigeons
Pigeon,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_3382693_uploaded_image1_1634069396.jpg,poules-lapins-et-pigeons
Pigeons Laince,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3380877_uploaded_image1_1633980647.jpg,poules-lapins-et-pigeons
Poules pondeuses,2 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3379737_uploaded_image1_1633947290.jpg,poules-lapins-et-pigeons
Pigeons bouvreuils,22 000 CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3378491_uploaded_image1_1633862943.jpg,poules-lapins-et-pigeons
Poussins brahman herminé - cochin blanc,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3374652_uploaded_image1_1633650923.jpg,poules-lapins-et-pigeons
Pigeon voyageur,10 000 CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3373811_uploaded_image1_1633618398.jpg,poules-lapins-et-pigeons
Pigeon voyageur,10 000 CFA,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3373808_uploaded_image1_1633618269.jpg,poules-lapins-et-pigeons
Pigeons,50 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3371154_uploaded_image1_1633515720.jpg,poules-lapins-et-pigeons
Poule Barahmane,100 000 CFA,"M'bour, Sénégal",https://images.coinafrique.com/thumb_3370800_uploaded_image2_1633504872.jpeg,poules-lapins-et-pigeons
Couple poulet Brahmâ,50 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3369356_uploaded_image1_1633438053.jpg,poules-lapins-et-pigeons
Pigeon Romain,85 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3362871_uploaded_image1_1633116442.jpg,poules-lapins-et-pigeons
Poule Brahman Herminé,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3357881_uploaded_image3_1632920077.jpeg,poules-lapins-et-pigeons
Poule Brahma hermnée,100 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3357145_uploaded_image1_1632869295.jpg,poules-lapins-et-pigeons
Pigeon Mondain,110 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3353083_uploaded_image1_1632604432.jpg,poules-lapins-et-pigeons
Pigeons,50 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3353071_uploaded_image1_1632603938.jpg,poules-lapins-et-pigeons
Pigeons,40 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3353065_uploaded_image1_1632603690.jpg,poules-lapins-et-pigeons
Pigeon bajoura,50 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3353059_uploaded_image1_1632603388.jpg,poules-lapins-et-pigeons
Poules,35 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3349405_uploaded_image2_1632391949.jpeg,poules-lapins-et-pigeons
Poules brahmanes,35 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3349401_uploaded_image1_1632391902.jpg,poules-lapins-et-pigeons
Poules Brahmanes,35 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3349397_uploaded_image2_1632391557.jpeg,poules-lapins-et-pigeons
Poules brahmanes,35 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3349394_uploaded_image1_1632391504.jpg,poules-lapins-et-pigeons
Poule,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3348160_uploaded_image1_1632324869.jpg,poules-lapins-et-pigeons
Poulet de chair,2 300 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3337450_uploaded_image1_1631785546.jpg,poules-lapins-et-pigeons
Pigeon,Prix sur demande,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3334209_uploaded_image1_1631622270.jpg,poules-lapins-et-pigeons
Poulets pondeuses,2 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3333107_uploaded_image1_1631563838.jpg,poules-lapins-et-pigeons
Poussins Cochin,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3325681_uploaded_image1_1631188256.jpg,poules-lapins-et-pigeons
Lapin nain,30 000 CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3322610_uploaded_image1_1631059644.jpg,poules-lapins-et-pigeons
Trio poussin coucou,30 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316809_uploaded_image1_1630785179.jpg,poules-lapins-et-pigeons
Poussin Brahmâ,20 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316806_uploaded_image1_1630785002.jpg,poules-lapins-et-pigeons
Poussin Brahma,20 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316797_uploaded_image1_1630784777.jpg,poules-lapins-et-pigeons
Lapereaux,17 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3315445_uploaded_image1_1630722382.jpg,poules-lapins-et-pigeons
Poule Brahman,22 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_3307095_uploaded_image1_1630430739.jpg,poules-lapins-et-pigeons
Pigeon mondain / bullan,25 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_3306481_uploaded_image1_1630411232.jpg,poules-lapins-et-pigeons
Pigeon Bullan,95 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_3306474_uploaded_image1_1630410943.jpg,poules-lapins-et-pigeons
Pigeon  Bullan,100 000 CFA,"Louga, Sénégal",https://images.coinafrique.com/thumb_3306464_uploaded_image1_1630410757.jpg,poules-lapins-et-pigeons
Pigeons Lahore,Prix sur demande,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3305350_uploaded_image1_1630343789.jpg,poules-lapins-et-pigeons
Pigeons,50 000 CFA,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3302613_uploaded_image1_1630169095.jpg,poules-lapins-et-pigeons
Poulet Bleu Hollande,4 500 CFA,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_3290876_uploaded_image1_1629501810.jpg,poules-lapins-et-pigeons
Lapereaux,17 000 CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3286388_uploaded_image1_1629289139.jpg,poules-lapins-et-pigeons
Poules,3 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3283632_uploaded_image1_1629152543.jpg,poules-lapins-et-pigeons
Poule cochin blanc,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3281225_uploaded_image2_1629034850.jpeg,poules-lapins-et-pigeons
Poulet cochin blanc,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3281223_uploaded_image1_1629034748.jpg,poules-lapins-et-pigeons
Poule Bleu Hollande,10 000 CFA,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3278019_uploaded_image1_1628853028.jpg,poules-lapins-et-pigeons
Brahma herminé,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3259880_uploaded_image1_1628000666.jpg,poules-lapins-et-pigeons
Poussins Brahman Herminé,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3248983_uploaded_image1_1627479441.jpg,poules-lapins-et-pigeons
Pigeon voyageur Meulman,10 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3248657_uploaded_image1_1627469932.jpg,poules-lapins-et-pigeons
Poules,2 500 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3229235_uploaded_image1_1626304950.jpg,poules-lapins-et-pigeons
Poulets de chair,2 500 CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3214815_uploaded_image1_1625661793.jpg,poules-lapins-et-pigeons
Perruche,20 000 CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3214014_uploaded_image1_1625618936.jpg,poules-lapins-et-pigeons
Lapin fauve de bourgogne,25 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3202447_uploaded_image2_1625166857.jpeg,poules-lapins-et-pigeons
Lapin,15 000 CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3197088_uploaded_image1_1624966307.jpg,poules-lapins-et-pigeons
Coq Baramann,Prix sur demande,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3189768_uploaded_image1_1624544691.jpg,poules-lapins-et-pigeons
Lapin,35 000 CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg,poules-lapins-et-pigeons
Pigeon Monday,100 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3177475_uploaded_image1_1623938929.jpg,poules-lapins-et-pigeons
Pignon Monday,175 000 CFA,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3177465_uploaded_image1_1623938681.jpg,poules-lapins-et-pigeons
Poulet,Prix sur demande,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3177358_uploaded_image1_1623935467.jpg,poules-lapins-et-pigeons
Poulet de chair,3 000 CFA,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3175790_uploaded_image1_1623855618.jpg,poules-lapins-et-pigeons
Poules cou-nues,Prix sur demande,"Touba, Sénégal",https://images.coinafrique.com/thumb_3169649_uploaded_image1_1623581238.jpg,poules-lapins-et-pigeons
Poulets bleue d'hollande,Prix sur demande,"Touba, Sénégal",https://images.coinafrique.com/thumb_3169646_uploaded_image1_1623581136.jpg,poules-lapins-et-pigeons
